chembl_id,pref_name,molecule_type,max_phase,therapeutic_flag,canonical_smiles,standard_inchi_key,full_mwt,alogp,hba,hbd,num_ro5_violations,synonyms,atc_codes
CHEMBL57,NEVIRAPINE,Small molecule,4.0,True,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,NQDJXKOVJZTUJA-UHFFFAOYSA-N,266.30,2.65,4.0,1.0,0.0,"BIRG 0587; BIRG-0587; BIRG0587; NSC-641530; Nevirapina; Nevirapine; Nevirapine anhydrous; Nevirapine teva; Nevirapine, anhydrous; Nevirapinum anhydrous; Viramune; Viramune xr",J05AG01
CHEMBL114,SAQUINAVIR,Small molecule,4.0,True,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,QWAXKHKRTORLEM-UGJKXSETSA-N,670.86,3.09,7.0,5.0,1.0,Fortovase; RO 31-8959/000; RO-31-8959/000; SCH-52852; Saquinavir; Saquinavirum,J05AE01
CHEMBL584,NELFINAVIR,Small molecule,4.0,True,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,QAGYKUNXZHXKMR-HKWSIXNMSA-N,567.80,4.75,6.0,4.0,1.0,NSC-747167; Nelfinavir,J05AE04
CHEMBL116,AMPRENAVIR,Small molecule,4.0,True,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,YMARZQAQMVYCKC-OEMFJLHTSA-N,505.64,2.40,7.0,3.0,1.0,141 W94; 141W94; Agenerase; Amprenavir; J05AE05; KVX-478; VX-478,J05AE05
CHEMBL593,DELAVIRDINE,Small molecule,4.0,True,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,WHBIGIKBNXZKFE-UHFFFAOYSA-N,456.57,2.72,6.0,3.0,0.0,Delavirdina; Delavirdine; U-90152,J05AG02
CHEMBL129,ZIDOVUDINE,Small molecule,4.0,True,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,HBOMLICNUCNMMY-XLPZGREQSA-N,267.24,-0.20,6.0,2.0,0.0,3'-azt; AZT; Azidothymidine; BW A509U; BW-A-509U; BW-A509U; Bwa509u; COMPOUND S; COMPOUND-S; NSC-602670; Retrovir; Zidovudina; Zidovudine; Zidovudine component of combivir; Zidovudine component of lamivudine/ teva; Zidovudine component of trizivir; Zidovudinum,J05AF01
CHEMBL666,FOSCARNET,Small molecule,4.0,True,O=C(O)P(=O)(O)O,ZJAOAACCNHFJAH-UHFFFAOYSA-N,126.00,-0.16,2.0,3.0,0.0,Dihydroxyphosphinecarboxylic acid oxide; Foscarnet; J05AD01,J05AD01
CHEMBL141,LAMIVUDINE,Small molecule,4.0,True,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,JTEGQNOMFQHVDC-NKWVEPMBSA-N,229.26,-0.59,7.0,2.0,0.0,"3TC; BCH 189, (-)-; Epivir; Epivir-hbv; GR 109714X; GR-109714X; GR109714X; Lamivudina; Lamivudine; Lamivudine component of /zidovudine teva; Lamivudine component of cimduo; Lamivudine component of combivir; Lamivudine component of delstrigo; Lamivudine component of dovato; Lamivudine component of dutrebis; Lamivudine component of epzicom; Lamivudine component of kivexa; Lamivudine component of symfi; Lamivudine component of temixys; Lamivudine component of triumeq; Lamivudine component of trizivir; Lamivudine teva; Lamivudine teva pharma b.v.; Lamivudinum; NSC-760061; Virolam; Zeffix",J05AF05
CHEMBL29609,PLECONARIL,Small molecule,2.0,False,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,KQOXLKOJHVFTRN-UHFFFAOYSA-N,381.35,4.68,6.0,0.0,0.0,Pleconaril; Pleconarilo; VP 63843; VP-63843; VP63843; WIN 63843; WIN-63843; WIN63843,J05AX06
CHEMBL31634,BRIVUDINE,Small molecule,2.0,False,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,ODZBBRURCPAEIQ-PIXDULNESA-N,333.14,-0.46,6.0,3.0,0.0,Brivudin; Brivudina; Brivudine; Bromovinyldeoxyuridine; Bvdu; NSC-633770; RP-101; RP101; Zostex,J05AB15
