,missing_count,missing_pct,n_unique
num_ro5_violations,2,2.3,4
hbd,2,2.3,9
hba,2,2.3,13
alogp,2,2.3,80
chembl_id,0,0.0,87
pref_name,0,0.0,87
molecule_type,0,0.0,2
max_phase,0,0.0,3
full_mwt,0,0.0,87
standard_inchi_key,0,0.0,87
canonical_smiles,0,0.0,87
therapeutic_flag,0,0.0,2
synonyms,0,0.0,87
atc_codes,0,0.0,87
rdkit_valid,0,0.0,1
canonical_smiles_rdkit,0,0.0,87
mw_rdkit,0,0.0,86
logp_rdkit,0,0.0,87
hba_rdkit,0,0.0,16
hbd_rdkit,0,0.0,12
rotatable_bonds,0,0.0,19
tpsa,0,0.0,80
passes_mw_filter,0,0.0,2
passes_lipinski,0,0.0,2
