smiles,molecular_weight,logp,hbd,hba,lipinski_score,full_pass,similarity_to_seed
O=C(O)CP(=O)(O)O,140.031,-0.7513000000000001,3,2,4,True,1.0
O=C(O)P(=O)(O)O,126.00399999999998,-0.1579000000000001,3,2,4,True,0.4117647058823529
O=C(O)P(=O)(O)P,141.98699999999997,0.7248999999999999,2,2,4,True,0.3684210526315789
NC(=O)c1nc(F)cnc1O,157.10399999999998,-0.5798000000000002,2,4,4,True,0.08333333333333333
O=C(NN1C(=O)[C@H]2[C@H]3C=C[C@H]([C@@H]4C[C@H]34)[C@H]2C1=S)c1ccc(C(F)(F)F)cc1,392.40200000000004,3.2041000000000013,1,3,4,True,0.07407407407407407
CN1C(=O)/C(=N\NC(N)=S)c2ccccc21,234.28400000000002,0.2003000000000002,2,3,4,True,0.06521739130434782
CN1C(=O)/C(=C\NC(N)=S)c2ccccc21,233.29600000000002,0.8370999999999997,2,2,4,True,0.06521739130434782
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,229.261,-0.5941000000000001,2,6,4,True,0.06
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,255.23399999999998,-1.970899999999999,4,7,4,True,0.058823529411764705
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,332.313,-3.5758299999999963,8,7,3,False,0.09259259259259259
